Rk,Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
1,2022,32,4,4,239,233,288,265,307,247,224,154,1062,903,85.0%,1187,1123,94.6%,2698,168904,1612,59.7%,62.6
2,2021,32,1,1,238,236,302,281,304,236,182,120,1027,874,85.1%,1257,1174,93.4%,2777,173916,1598,57.5%,62.6
3,2020,32,7,7,209,201,268,249,304,245,168,106,960,812,84.6%,1338,1244,93.0%,2757,171876,1687,61.2%,62.3
4,2019,32,6,6,242,238,265,242,325,232,145,84,983,802,81.6%,1210,1136,93.9%,2603,162335,1585,60.9%,62.4
5,2018,32,3,3,208,205,289,272,295,225,152,97,947,802,84.7%,1235,1164,94.3%,2634,164869,1601,60.8%,62.6
6,2017,32,9,9,243,238,301,258,320,254,154,107,1027,866,84.3%,1134,1066,94.0%,2473,154144,1413,57.1%,62.3
7,2016,32,9,9,250,242,304,279,296,235,150,85,1009,850,84.2%,1195,1119,93.6%,2632,164751,1516,57.6%,62.6
8,2015,32,10,10,236,230,272,256,309,234,160,104,987,834,84.5%,1217,1146,94.2%,2627,166348,1470,56.0%,63.3
9,2014,32,10,10,247,241,302,272,274,212,154,94,987,829,84.0%,1230,1222,99.3%,2607,165670,1311,50.3%,63.5
10,2013,32,12,12,242,236,295,265,306,254,143,96,998,863,86.5%,1267,1262,99.6%,2684,169138,1309,48.8%,63.0
11,2012,32,16,16,223,215,303,270,323,259,151,92,1016,852,83.9%,1235,1229,99.5%,2620,165870,1156,44.1%,63.3
12,2011,32,16,16,296,285,259,225,300,222,140,90,1011,838,82.9%,1207,1200,99.4%,2565,163058,1117,43.5%,63.6
13,2010,32,19,19,270,257,283,251,284,208,108,59,964,794,82.4%,1214,1203,99.1%,2538,161153,416,16.4%,63.5
14,2009,32,11,11,273,264,287,240,255,186,104,55,930,756,81.3%,1185,1165,98.3%,2482,159129,400,16.1%,64.1
15,2008,32,7,7,266,261,321,286,302,225,104,66,1000,845,84.5%,1176,1170,99.5%,2534,161029,368,14.5%,63.5
16,2007,32,17,17,284,270,279,253,283,210,95,45,960,795,82.8%,1177,1165,99.0%,2490,154231,307,12.3%,61.9
17,2006,32,15,15,269,257,279,239,294,216,85,40,942,767,81.4%,1135,1124,99.0%,2392,151489,311,13.0%,63.3
18,2005,32,13,13,272,259,299,255,291,208,92,48,967,783,81.0%,1114,1099,98.7%,2240,138465,209,9.3%,61.8
19,2004,32,12,12,252,243,259,211,257,185,91,53,870,703,80.8%,1189,1179,99.2%,2363,144413,205,8.7%,61.1
20,2003,32,6,6,281,270,277,229,297,206,93,45,954,756,79.2%,1128,1110,98.4%,2364,144142,176,7.4%,61.0
21,2002,32,13,12,257,242,291,243,305,196,84,44,951,737,77.5%,1165,1148,98.5%,2369,144246,186,7.9%,60.9
22,2001,31,10,9,267,253,271,230,338,202,73,38,959,732,76.3%,1027,1008,98.1%,2251,137242,212,9.4%,61.0
23,2000,31,31,29,240,224,282,232,297,208,68,38,917,731,79.7%,1063,1053,99.1%,2256,138879,209,9.3%,61.6
24,1999,31,25,25,261,247,289,231,302,204,87,42,964,749,77.7%,1063,1051,98.9%,2365,145491,239,10.1%,61.5
25,1998,30,22,20,230,219,254,216,296,206,87,47,889,708,79.6%,1049,1031,98.3%,2306,148541,374,16.2%,64.4
26,1997,30,20,20,257,243,280,235,271,169,78,41,906,708,78.1%,1007,993,98.6%,2282,144736,316,13.8%,63.4
27,1996,30,20,20,281,266,288,244,267,172,58,30,915,732,80.0%,991,977,98.6%,2279,145024,269,11.8%,63.6
28,1995,30,19,18,265,243,318,262,261,169,91,46,954,738,77.4%,1049,1030,98.2%,2354,144992,214,9.1%,61.6
29,1994,28,22,22,239,229,255,213,228,152,66,24,811,640,78.9%,902,891,98.8%,2084,125610,146,7.0%,60.3
30,1993,28,28,28,246,229,263,219,222,136,120,61,879,673,76.6%,901,876,97.2%,1940,116981,505,26.0%,60.3
31,1992,28,21,21,201,181,253,192,226,131,72,36,773,561,72.6%,952,936,98.3%,1893,114011,447,23.6%,60.2
32,1991,28,31,30,221,205,262,205,240,141,94,42,848,623,73.5%,941,919,97.7%,2000,118370,419,21.0%,59.2
33,1990,28,27,26,203,194,250,196,235,146,78,28,793,590,74.4%,1024,997,97.4%,,,,,
34,1989,28,27,27,216,204,252,199,273,150,61,21,829,601,72.5%,1049,1025,97.7%,,,,,
35,1988,28,22,21,216,193,246,190,242,139,70,28,796,571,71.7%,1045,1004,96.1%,,,,,
36,1987,28,14,14,211,196,248,181,258,140,51,20,784,551,70.3%,1044,1010,96.7%,,,,,
37,1986,28,26,24,193,171,245,193,258,138,93,33,815,559,68.6%,1059,1026,96.9%,,,,,
38,1985,28,18,17,221,193,274,218,233,138,80,30,826,596,72.2%,1113,1073,96.4%,,,,,
39,1984,28,25,25,192,178,231,173,248,150,89,37,785,563,71.7%,1106,1075,97.2%,,,,,
40,1983,28,23,22,201,182,239,181,237,139,71,27,771,551,71.5%,1154,1104,95.7%,,,,,
41,1982,28,20,19,120,101,127,91,146,91,40,10,456,311,68.2%,588,557,94.7%,,,,,
42,1981,28,24,22,213,182,231,162,256,134,67,21,791,521,65.9%,1094,1041,95.2%,,,,,
43,1980,28,21,20,181,161,245,165,225,108,80,23,752,478,63.6%,1098,1042,94.9%,,,,,
44,1979,28,19,14,183,160,236,157,240,109,42,14,720,454,63.1%,1086,991,91.3%,,,,,
45,1978,28,28,26,182,155,223,136,210,104,34,6,677,427,63.1%,982,914,93.1%,,,,,
46,1977,28,16,13,166,131,194,121,197,87,44,8,618,360,58.3%,806,741,91.9%,,,,,
47,1976,28,24,23,172,137,202,129,233,103,41,8,672,400,59.5%,898,816,90.9%,,,,,
48,1975,26,25,24,165,137,175,115,173,84,37,9,575,369,64.2%,912,834,91.4%,,,,,
49,1974,26,16,13,148,120,190,123,169,75,30,4,553,335,60.6%,796,733,92.1%,,,,,
50,1973,26,164,158,181,140,226,145,228,90,62,10,861,543,63.1%,772,754,97.7%,,,,,
51,1972,26,125,117,155,116,222,153,255,98,60,15,817,499,61.1%,832,811,97.5%,,,,,
52,1971,26,137,126,178,130,196,109,222,84,51,12,797,468,58.7%,802,786,98.0%,,,,,
53,1970,26,137,125,179,126,175,112,241,98,73,17,805,478,59.4%,793,772,97.4%,,,,,
54,1969,16,72,63,92,71,104,58,127,35,35,2,461,243,52.7%,560,551,98.4%,,,,,
55,1968,16,62,59,94,71,103,57,112,28,22,3,435,242,55.6%,552,528,95.7%,,,,,
56,1967,16,50,38,79,51,94,51,103,33,20,1,445,219,49.2%,605,587,97.0%,,,,,
57,1966,15,70,65,67,52,85,43,102,35,17,1,472,263,55.7%,538,521,96.8%,,,,,
58,1965,14,22,16,22,18,26,13,37,11,4,1,364,196,53.8%,556,538,96.8%,,,,,
59,1964,14,30,20,28,21,35,16,44,16,8,1,403,214,53.1%,524,501,95.6%,,,,,
60,1963,14,21,14,21,10,26,16,33,13,6,2,379,188,49.6%,534,510,95.5%,,,,,
61,1962,14,22,20,20,13,27,17,24,8,8,1,364,180,49.5%,543,523,96.3%,,,,,
62,1961,14,24,19,23,15,27,10,23,5,6,1,372,179,48.1%,525,510,97.1%,,,,,
63,1960,13,14,8,13,8,20,10,17,8,3,,291,163,56.0%,405,392,96.8%,,,,,
64,1959,12,,,,,,,,,,,248,116,46.8%,389,372,95.6%,,,,,
65,1958,12,,,,,,,,,,,254,119,46.9%,413,394,95.4%,,,,,
66,1957,12,,,,,,,,,,,245,128,52.2%,353,338,95.8%,,,,,
67,1956,12,,,,,,,,,,,221,113,51.1%,373,350,93.8%,,,,,
68,1955,12,,,,,,,,,,,250,115,46.0%,382,356,93.2%,,,,,
69,1954,12,,,,,,,,,,,222,119,53.6%,398,381,95.7%,,,,,
70,1953,12,,,,,,,,,,,232,108,46.6%,394,377,95.7%,,,,,
71,1952,12,,,,,,,,,,,221,95,43.0%,415,387,93.3%,,,,,
72,1951,12,,,,,,,,,,,190,98,51.6%,409,389,95.1%,,,,,
73,1950,13,,,,,,,,,,,181,80,44.2%,476,447,93.9%,,,,,
74,1949,10,,,,,,,,,,,136,62,45.6%,359,339,94.4%,,,,,
75,1948,10,,,,,,,,,,,110,45,40.9%,381,356,93.4%,,,,,
76,1947,10,,,,,,,,,,,119,53,44.5%,356,329,92.4%,,,,,
77,1946,10,,,,,,,,,,,110,47,42.7%,278,258,92.8%,,,,,
78,1945,10,,,,,,,,,,,75,34,45.3%,252,229,90.9%,,,,,
79,1944,11,,,,,,,,,,,69,23,33.3%,251,220,87.6%,,,,,
80,1943,10,,,,,,,,,,,68,16,23.5%,218,200,91.7%,,,,,
81,1942,10,,,,,,,,,,,93,33,35.5%,235,218,92.8%,,,,,
82,1941,10,,,,,,,,,,,118,47,39.8%,237,209,88.2%,,,,,
83,1940,10,,,,,,,,,,,106,42,39.6%,222,189,85.1%,,,,,
84,1939,10,,,,,,,,,,,134,52,38.8%,224,184,82.1%,,,,,
85,1938,10,,,,,,,,,,,101,41,40.6%,198,163,82.3%,,,,,
86,1937,10,,,,,,,,,,,,46,,187,154,82.4%,,,,,
87,1936,9,,,,,,,,,,,,48,,166,136,81.9%,,,,,
88,1935,9,,,,,,,,,,,,43,,151,117,77.5%,,,,,
89,1934,11,,,,,,,,,,,,49,,169,125,74.0%,,,,,
90,1933,10,,,,,,,,,,,,36,,145,115,79.3%,,,,,
91,1932,8,,,,,,,,,,,,6,,113,76,67.3%,,,,,
